Id,alphabet,Description,Category,Prevalence_20192,Prevalence_20201,Prevalence_20202
a4189,a,Other specified sepsis,Certain infectious and parasitic diseases,484.0,1609.0,4479.0
a419,a,"Sepsis, unspecified organism",Certain infectious and parasitic diseases,16939.0,17062.0,16267.0
a430,a,Pulmonary nocardiosis,Certain infectious and parasitic diseases,45.0,58.0,34.0
a438,a,Other forms of nocardiosis,Certain infectious and parasitic diseases,,17.0,10.0
a439,a,"Nocardiosis, unspecified",Certain infectious and parasitic diseases,,13.0,
a480,a,Gas gangrene,Certain infectious and parasitic diseases,179.0,168.0,209.0
a483,a,Toxic shock syndrome,Certain infectious and parasitic diseases,11.0,19.0,14.0
a491,a,"Streptococcal infection, unspecified site",Certain infectious and parasitic diseases,,25.0,13.0
a498,a,Other bacterial infections of unspecified site,Certain infectious and parasitic diseases,18.0,20.0,16.0
a502,a,"Early congenital syphilis, unspecified",Certain infectious and parasitic diseases,15.0,15.0,12.0
a509,a,"Congenital syphilis, unspecified",Certain infectious and parasitic diseases,24.0,26.0,55.0
a528,a,"Late syphilis, latent",Certain infectious and parasitic diseases,27.0,42.0,38.0
a530,a,"Latent syphilis, unspecified as early or late",Certain infectious and parasitic diseases,63.0,61.0,91.0
a539,a,"Syphilis, unspecified",Certain infectious and parasitic diseases,89.0,99.0,135.0
a5442,a,Gonococcal arthritis,Certain infectious and parasitic diseases,10.0,15.0,11.0
a549,a,"Gonococcal infection, unspecified",Certain infectious and parasitic diseases,43.0,48.0,93.0
a5602,a,Chlamydial vulvovaginitis,Certain infectious and parasitic diseases,20.0,26.0,
a5611,a,Chlamydial female pelvic inflammatory disease,Certain infectious and parasitic diseases,17.0,14.0,11.0
a562,a,"Chlamydial infection of genitourinary tract, unspecified",Certain infectious and parasitic diseases,53.0,51.0,42.0
a568,a,Sexually transmitted chlamydial infection of other sites,Certain infectious and parasitic diseases,60.0,67.0,83.0
a5900,a,"Urogenital trichomoniasis, unspecified",Certain infectious and parasitic diseases,16.0,11.0,14.0
a5901,a,Trichomonal vulvovaginitis,Certain infectious and parasitic diseases,67.0,44.0,48.0
a599,a,"Trichomoniasis, unspecified",Certain infectious and parasitic diseases,70.0,64.0,89.0
a6000,a,"Herpesviral infection of urogenital system, unspecified",Certain infectious and parasitic diseases,471.0,411.0,402.0
a6002,a,Herpesviral infection of other male genital organs,Certain infectious and parasitic diseases,11.0,11.0,12.0
a6004,a,Herpesviral vulvovaginitis,Certain infectious and parasitic diseases,45.0,53.0,44.0
a6009,a,Herpesviral infection of other urogenital tract,Certain infectious and parasitic diseases,96.0,106.0,175.0
a609,a,"Anogenital herpesviral infection, unspecified",Certain infectious and parasitic diseases,28.0,18.0,16.0
a630,a,Anogenital (venereal) warts,Certain infectious and parasitic diseases,129.0,94.0,116.0
a749,a,"Chlamydial infection, unspecified",Certain infectious and parasitic diseases,117.0,112.0,150.0
a770,a,Spotted fever due to Rickettsia rickettsii,Certain infectious and parasitic diseases,13.0,17.0,15.0
a86,a,Unspecified viral encephalitis,Certain infectious and parasitic diseases,40.0,20.0,19.0
b001,b,Herpesviral vesicular dermatitis,Certain infectious and parasitic diseases,233.0,220.0,208.0
b003,b,Herpesviral meningitis,Certain infectious and parasitic diseases,17.0,13.0,14.0
b004,b,Herpesviral encephalitis,Certain infectious and parasitic diseases,32.0,40.0,23.0
b0089,b,Other herpesviral infection,Certain infectious and parasitic diseases,60.0,36.0,41.0
b009,b,"Herpesviral infection, unspecified",Certain infectious and parasitic diseases,615.0,565.0,527.0
b019,b,Varicella without complication,Certain infectious and parasitic diseases,15.0,27.0,24.0
b020,b,Zoster encephalitis,Certain infectious and parasitic diseases,,13.0,10.0
b021,b,Zoster meningitis,Certain infectious and parasitic diseases,,14.0,14.0
b0230,b,"Zoster ocular disease, unspecified",Certain infectious and parasitic diseases,47.0,43.0,41.0
b027,b,Disseminated zoster,Certain infectious and parasitic diseases,41.0,28.0,30.0
b028,b,Zoster with other complications,Certain infectious and parasitic diseases,32.0,23.0,25.0
b079,b,"Viral wart, unspecified",Certain infectious and parasitic diseases,,12.0,
b081,b,Molluscum contagiosum,Certain infectious and parasitic diseases,20.0,14.0,18.0
b084,b,Enteroviral vesicular stomatitis with exanthem,Certain infectious and parasitic diseases,20.0,18.0,
b178,b,Other specified acute viral hepatitis,Certain infectious and parasitic diseases,,11.0,58.0
b181,b,Chronic viral hepatitis B without delta-agent,Certain infectious and parasitic diseases,214.0,222.0,203.0
b182,b,Chronic viral hepatitis C,Certain infectious and parasitic diseases,3227.0,2796.0,2721.0
b1910,b,Unspecified viral hepatitis B without hepatic coma,Certain infectious and parasitic diseases,371.0,275.0,296.0
b1920,b,Unspecified viral hepatitis C without hepatic coma,Certain infectious and parasitic diseases,3965.0,3503.0,3236.0
b199,b,Unspecified viral hepatitis without hepatic coma,Certain infectious and parasitic diseases,16.0,28.0,36.0
b20,b,Human immunodeficiency virus [HIV] disease,Certain infectious and parasitic diseases,673.0,673.0,633.0
b250,b,Cytomegaloviral pneumonitis,Certain infectious and parasitic diseases,30.0,26.0,
b258,b,Other cytomegaloviral diseases,Certain infectious and parasitic diseases,67.0,56.0,51.0
b2790,b,"Infectious mononucleosis, unspecified without complication",Certain infectious and parasitic diseases,27.0,32.0,27.0
b3324,b,Viral cardiomyopathy,Certain infectious and parasitic diseases,25.0,34.0,45.0
b338,b,Other specified viral diseases,Certain infectious and parasitic diseases,10.0,11.0,10.0
b340,b,"Adenovirus infection, unspecified",Certain infectious and parasitic diseases,14.0,21.0,17.0
b341,b,"Enterovirus infection, unspecified",Certain infectious and parasitic diseases,27.0,22.0,24.0
b343,b,"Parvovirus infection, unspecified",Certain infectious and parasitic diseases,,11.0,
b348,b,Other viral infections of unspecified site,Certain infectious and parasitic diseases,242.0,168.0,102.0
b350,b,Tinea barbae and tinea capitis,Certain infectious and parasitic diseases,23.0,18.0,12.0
b351,b,Tinea unguium,Certain infectious and parasitic diseases,,372.0,250.0
b353,b,Tinea pedis,Certain infectious and parasitic diseases,402.0,422.0,343.0
b354,b,Tinea corporis,Certain infectious and parasitic diseases,84.0,81.0,56.0
b359,b,"Dermatophytosis, unspecified",Certain infectious and parasitic diseases,45.0,61.0,51.0
b360,b,Pityriasis versicolor,Certain infectious and parasitic diseases,15.0,10.0,11.0
b370,b,Candidal stomatitis,Certain infectious and parasitic diseases,1520.0,1501.0,1144.0
b371,b,Pulmonary candidiasis,Certain infectious and parasitic diseases,63.0,57.0,98.0
b372,b,Candidiasis of skin and nail,Certain infectious and parasitic diseases,498.0,476.0,439.0
b377,b,Candidal sepsis,Certain infectious and parasitic diseases,113.0,101.0,147.0
b3781,b,Candidal esophagitis,Certain infectious and parasitic diseases,364.0,377.0,306.0
b384,b,Coccidioidomycosis meningitis,Certain infectious and parasitic diseases,80.0,98.0,89.0
b387,b,Disseminated coccidioidomycosis,Certain infectious and parasitic diseases,145.0,151.0,148.0
b3889,b,Other forms of coccidioidomycosis,Certain infectious and parasitic diseases,18.0,18.0,21.0
b399,b,"Histoplasmosis, unspecified",Certain infectious and parasitic diseases,24.0,15.0,
b440,b,Invasive pulmonary aspergillosis,Certain infectious and parasitic diseases,24.0,15.0,15.0
b4481,b,Allergic bronchopulmonary aspergillosis,Certain infectious and parasitic diseases,35.0,26.0,25.0
b4489,b,Other forms of aspergillosis,Certain infectious and parasitic diseases,,10.0,15.0
b449,b,"Aspergillosis, unspecified",Certain infectious and parasitic diseases,57.0,81.0,100.0
b451,b,Cerebral cryptococcosis,Certain infectious and parasitic diseases,23.0,14.0,13.0
b465,b,"Mucormycosis, unspecified",Certain infectious and parasitic diseases,13.0,17.0,12.0
b488,b,Other specified mycoses,Certain infectious and parasitic diseases,57.0,63.0,62.0
b49,b,Unspecified mycosis,Certain infectious and parasitic diseases,170.0,142.0,180.0
b589,b,"Toxoplasmosis, unspecified",Certain infectious and parasitic diseases,14.0,13.0,
b59,b,Pneumocystosis,Certain infectious and parasitic diseases,86.0,73.0,84.0
b870,b,Cutaneous myiasis,Certain infectious and parasitic diseases,,16.0,
b871,b,Wound myiasis,Certain infectious and parasitic diseases,15.0,29.0,16.0
b879,b,"Myiasis, unspecified",Certain infectious and parasitic diseases,,20.0,
b91,b,Sequelae of poliomyelitis,Certain infectious and parasitic diseases,32.0,43.0,46.0
b948,b,Sequelae of other specified infectious and parasitic diseases,Certain infectious and parasitic diseases,25.0,24.0,294.0
b950,b,"Streptococcus, group A, as the cause of diseases classified elsewhere",Certain infectious and parasitic diseases,273.0,373.0,294.0
b951,b,"Streptococcus, group B, as the cause of diseases classified elsewhere",Certain infectious and parasitic diseases,767.0,839.0,814.0
b952,b,Enterococcus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1758.0,1734.0,1765.0
b953,b,Streptococcus pneumoniae as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,72.0,88.0,53.0
b954,b,Other streptococcus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,713.0,723.0,708.0
b9561,b,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,2190.0,1937.0,1949.0
b9562,b,Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,2498.0,2045.0,1979.0
b957,b,Other staphylococcus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,684.0,625.0,702.0
b960,b,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,18.0,11.0,10.0
b961,b,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,2988.0,2678.0,2951.0
b9620,b,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,7083.0,6447.0,6464.0
b964,b,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,812.0,801.0,801.0
b965,b,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1983.0,1731.0,1805.0
b9681,b,Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,294.0,259.0,238.0
b9689,b,Other specified bacterial agents as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,2528.0,2454.0,2431.0
b970,b,Adenovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,89.0,137.0,26.0
b9710,b,Unspecified enterovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,367.0,355.0,134.0
b9729,b,Other coronavirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,91.0,388.0,28.0
b974,b,Respiratory syncytial virus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,126.0,593.0,13.0
b9781,b,Human metapneumovirus as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,40.0,327.0,
b9789,b,Other viral agents as the cause of diseases classified elsewhere,Certain infectious and parasitic diseases,1193.0,1147.0,400.0
b999,b,Unspecified infectious disease,Certain infectious and parasitic diseases,62.0,30.0,30.0
c01,c,Malignant neoplasm of base of tongue,Neoplasms,59.0,65.0,62.0
c021,c,Malignant neoplasm of border of tongue,Neoplasms,13.0,14.0,10.0
c029,c,"Malignant neoplasm of tongue, unspecified",Neoplasms,126.0,90.0,79.0
c049,c,"Malignant neoplasm of floor of mouth, unspecified",Neoplasms,20.0,20.0,22.0
c060,c,Malignant neoplasm of cheek mucosa,Neoplasms,13.0,17.0,13.0
c069,c,"Malignant neoplasm of mouth, unspecified",Neoplasms,38.0,27.0,46.0
c07,c,Malignant neoplasm of parotid gland,Neoplasms,32.0,33.0,44.0
c099,c,"Malignant neoplasm of tonsil, unspecified",Neoplasms,69.0,66.0,66.0
c109,c,"Malignant neoplasm of oropharynx, unspecified",Neoplasms,49.0,52.0,55.0
c119,c,"Malignant neoplasm of nasopharynx, unspecified",Neoplasms,20.0,32.0,20.0
c139,c,"Malignant neoplasm of hypopharynx, unspecified",Neoplasms,10.0,20.0,17.0
c155,c,Malignant neoplasm of lower third of esophagus,Neoplasms,85.0,98.0,98.0
c169,c,"Malignant neoplasm of stomach, unspecified",Neoplasms,234.0,218.0,172.0
c170,c,Malignant neoplasm of duodenum,Neoplasms,35.0,39.0,44.0
c179,c,"Malignant neoplasm of small intestine, unspecified",Neoplasms,18.0,19.0,11.0
c180,c,Malignant neoplasm of cecum,Neoplasms,137.0,118.0,128.0
c181,c,Malignant neoplasm of appendix,Neoplasms,62.0,49.0,80.0
c182,c,Malignant neoplasm of ascending colon,Neoplasms,197.0,194.0,162.0
c185,c,Malignant neoplasm of splenic flexure,Neoplasms,16.0,20.0,20.0
c187,c,Malignant neoplasm of sigmoid colon,Neoplasms,201.0,224.0,205.0
c189,c,"Malignant neoplasm of colon, unspecified",Neoplasms,647.0,625.0,591.0
c19,c,Malignant neoplasm of rectosigmoid junction,Neoplasms,364.0,300.0,309.0
c211,c,Malignant neoplasm of anal canal,Neoplasms,10.0,11.0,10.0
c218,c,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",Neoplasms,34.0,26.0,25.0
c220,c,Liver cell carcinoma,Neoplasms,505.0,456.0,495.0
c221,c,Intrahepatic bile duct carcinoma,Neoplasms,252.0,236.0,279.0
c227,c,Other specified carcinomas of liver,Neoplasms,17.0,16.0,14.0
c23,c,Malignant neoplasm of gallbladder,Neoplasms,59.0,87.0,76.0
c240,c,Malignant neoplasm of extrahepatic bile duct,Neoplasms,56.0,32.0,32.0
c241,c,Malignant neoplasm of ampulla of Vater,Neoplasms,33.0,29.0,31.0
c250,c,Malignant neoplasm of head of pancreas,Neoplasms,249.0,221.0,244.0
c253,c,Malignant neoplasm of pancreatic duct,Neoplasms,15.0,29.0,33.0
c257,c,Malignant neoplasm of other parts of pancreas,Neoplasms,16.0,14.0,
c259,c,"Malignant neoplasm of pancreas, unspecified",Neoplasms,632.0,608.0,655.0
c269,c,Malignant neoplasm of ill-defined sites within the digestive system,Neoplasms,14.0,11.0,14.0
c300,c,Malignant neoplasm of nasal cavity,Neoplasms,18.0,14.0,
c310,c,Malignant neoplasm of maxillary sinus,Neoplasms,,22.0,12.0
c320,c,Malignant neoplasm of glottis,Neoplasms,11.0,18.0,13.0
c321,c,Malignant neoplasm of supraglottis,Neoplasms,34.0,20.0,22.0
c329,c,"Malignant neoplasm of larynx, unspecified",Neoplasms,65.0,77.0,73.0
c3402,c,Malignant neoplasm of left main bronchus,Neoplasms,35.0,22.0,19.0
c3410,c,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",Neoplasms,22.0,13.0,
c3411,c,"Malignant neoplasm of upper lobe, right bronchus or lung",Neoplasms,400.0,395.0,353.0
c3412,c,"Malignant neoplasm of upper lobe, left bronchus or lung",Neoplasms,329.0,286.0,248.0
c3431,c,"Malignant neoplasm of lower lobe, right bronchus or lung",Neoplasms,225.0,213.0,174.0
c3481,c,Malignant neoplasm of overlapping sites of right bronchus and lung,Neoplasms,21.0,14.0,13.0
c3482,c,Malignant neoplasm of overlapping sites of left bronchus and lung,Neoplasms,12.0,11.0,
c3490,c,Malignant neoplasm of unspecified part of unspecified bronchus or lung,Neoplasms,1473.0,1468.0,1243.0
c3491,c,Malignant neoplasm of unspecified part of right bronchus or lung,Neoplasms,283.0,285.0,255.0
c3492,c,Malignant neoplasm of unspecified part of left bronchus or lung,Neoplasms,218.0,201.0,195.0
c37,c,Malignant neoplasm of thymus,Neoplasms,15.0,22.0,19.0
c4001,c,Malignant neoplasm of scapula and long bones of right upper limb,Neoplasms,26.0,16.0,
c4002,c,Malignant neoplasm of scapula and long bones of left upper limb,Neoplasms,18.0,35.0,20.0
c4021,c,Malignant neoplasm of long bones of right lower limb,Neoplasms,46.0,54.0,59.0
c4022,c,Malignant neoplasm of long bones of left lower limb,Neoplasms,116.0,89.0,72.0
c410,c,Malignant neoplasm of bones of skull and face,Neoplasms,,15.0,13.0
c411,c,Malignant neoplasm of mandible,Neoplasms,37.0,34.0,22.0
c412,c,Malignant neoplasm of vertebral column,Neoplasms,33.0,25.0,19.0
c434,c,Malignant melanoma of scalp and neck,Neoplasms,26.0,33.0,14.0
c4359,c,Malignant melanoma of other part of trunk,Neoplasms,20.0,25.0,15.0
c4371,c,"Malignant melanoma of right lower limb, including hip",Neoplasms,,10.0,
c4372,c,"Malignant melanoma of left lower limb, including hip",Neoplasms,18.0,14.0,
c44310,c,Basal cell carcinoma of skin of unspecified parts of face,Neoplasms,12.0,13.0,
c44319,c,Basal cell carcinoma of skin of other parts of face,Neoplasms,14.0,12.0,13.0
c44320,c,Squamous cell carcinoma of skin of unspecified parts of face,Neoplasms,11.0,15.0,12.0
c44329,c,Squamous cell carcinoma of skin of other parts of face,Neoplasms,32.0,32.0,29.0
c4440,c,Unspecified malignant neoplasm of skin of scalp and neck,Neoplasms,10.0,12.0,13.0
c4492,c,"Squamous cell carcinoma of skin, unspecified",Neoplasms,31.0,43.0,21.0
c450,c,Mesothelioma of pleura,Neoplasms,19.0,15.0,
c451,c,Mesothelioma of peritoneum,Neoplasms,16.0,12.0,
c457,c,Mesothelioma of other sites,Neoplasms,14.0,12.0,14.0
c459,c,"Mesothelioma, unspecified",Neoplasms,26.0,22.0,18.0
c469,c,"Kaposi's sarcoma, unspecified",Neoplasms,21.0,15.0,12.0
c479,c,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",Neoplasms,15.0,19.0,
c480,c,Malignant neoplasm of retroperitoneum,Neoplasms,67.0,65.0,67.0
c482,c,"Malignant neoplasm of peritoneum, unspecified",Neoplasms,37.0,20.0,19.0
c490,c,"Malignant neoplasm of connective and soft tissue of head, face and neck",Neoplasms,41.0,21.0,24.0
c4912,c,"Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder",Neoplasms,,10.0,
c494,c,Malignant neoplasm of connective and soft tissue of abdomen,Neoplasms,18.0,17.0,22.0
c495,c,Malignant neoplasm of connective and soft tissue of pelvis,Neoplasms,15.0,26.0,26.0
c499,c,"Malignant neoplasm of connective and soft tissue, unspecified",Neoplasms,139.0,94.0,101.0
c49a0,c,"Gastrointestinal stromal tumor, unspecified site",Neoplasms,32.0,32.0,20.0
c50111,c,Malignant neoplasm of central portion of right female breast,Neoplasms,15.0,11.0,14.0
c50312,c,Malignant neoplasm of lower-inner quadrant of left female breast,Neoplasms,,10.0,
c50411,c,Malignant neoplasm of upper-outer quadrant of right female breast,Neoplasms,44.0,24.0,31.0
c50412,c,Malignant neoplasm of upper-outer quadrant of left female breast,Neoplasms,40.0,46.0,29.0
c50511,c,Malignant neoplasm of lower-outer quadrant of right female breast,Neoplasms,,13.0,
c50512,c,Malignant neoplasm of lower-outer quadrant of left female breast,Neoplasms,12.0,10.0,
c50811,c,Malignant neoplasm of overlapping sites of right female breast,Neoplasms,15.0,13.0,
c50812,c,Malignant neoplasm of overlapping sites of left female breast,Neoplasms,17.0,16.0,21.0
c50911,c,Malignant neoplasm of unspecified site of right female breast,Neoplasms,340.0,292.0,249.0
c50912,c,Malignant neoplasm of unspecified site of left female breast,Neoplasms,380.0,286.0,273.0
c50919,c,Malignant neoplasm of unspecified site of unspecified female breast,Neoplasms,808.0,737.0,718.0
c519,c,"Malignant neoplasm of vulva, unspecified",Neoplasms,36.0,38.0,45.0
c52,c,Malignant neoplasm of vagina,Neoplasms,17.0,23.0,21.0
c530,c,Malignant neoplasm of endocervix,Neoplasms,18.0,11.0,12.0
c539,c,"Malignant neoplasm of cervix uteri, unspecified",Neoplasms,227.0,203.0,214.0
c541,c,Malignant neoplasm of endometrium,Neoplasms,316.0,273.0,244.0
c561,c,Malignant neoplasm of right ovary,Neoplasms,93.0,96.0,76.0
c562,c,Malignant neoplasm of left ovary,Neoplasms,110.0,97.0,84.0
c569,c,Malignant neoplasm of unspecified ovary,Neoplasms,395.0,373.0,381.0
c5701,c,Malignant neoplasm of right fallopian tube,Neoplasms,,12.0,
c609,c,"Malignant neoplasm of penis, unspecified",Neoplasms,10.0,17.0,13.0
c61,c,Malignant neoplasm of prostate,Neoplasms,1915.0,1804.0,1685.0
c6291,c,"Malignant neoplasm of right testis, unspecified whether descended or undescended",Neoplasms,29.0,17.0,27.0
c6292,c,"Malignant neoplasm of left testis, unspecified whether descended or undescended",Neoplasms,17.0,13.0,21.0
c649,c,"Malignant neoplasm of unspecified kidney, except renal pelvis",Neoplasms,310.0,271.0,267.0
c651,c,Malignant neoplasm of right renal pelvis,Neoplasms,21.0,20.0,18.0
c652,c,Malignant neoplasm of left renal pelvis,Neoplasms,12.0,14.0,16.0
c661,c,Malignant neoplasm of right ureter,Neoplasms,25.0,24.0,20.0
c662,c,Malignant neoplasm of left ureter,Neoplasms,40.0,21.0,24.0
c669,c,Malignant neoplasm of unspecified ureter,Neoplasms,,11.0,12.0
c670,c,Malignant neoplasm of trigone of bladder,Neoplasms,,12.0,
c672,c,Malignant neoplasm of lateral wall of bladder,Neoplasms,21.0,22.0,15.0
c674,c,Malignant neoplasm of posterior wall of bladder,Neoplasms,16.0,14.0,15.0
c679,c,"Malignant neoplasm of bladder, unspecified",Neoplasms,773.0,760.0,659.0
c680,c,Malignant neoplasm of urethra,Neoplasms,19.0,19.0,13.0
c6921,c,Malignant neoplasm of right retina,Neoplasms,26.0,11.0,
c6922,c,Malignant neoplasm of left retina,Neoplasms,22.0,11.0,
c710,c,"Malignant neoplasm of cerebrum, except lobes and ventricles",Neoplasms,16.0,22.0,13.0
c713,c,Malignant neoplasm of parietal lobe,Neoplasms,49.0,50.0,55.0
c717,c,Malignant neoplasm of brain stem,Neoplasms,17.0,21.0,11.0
c718,c,Malignant neoplasm of overlapping sites of brain,Neoplasms,24.0,20.0,15.0
c719,c,"Malignant neoplasm of brain, unspecified",Neoplasms,325.0,223.0,284.0
c720,c,Malignant neoplasm of spinal cord,Neoplasms,12.0,14.0,21.0
c73,c,Malignant neoplasm of thyroid gland,Neoplasms,200.0,202.0,164.0
c7490,c,Malignant neoplasm of unspecified part of unspecified adrenal gland,Neoplasms,39.0,40.0,29.0
c7492,c,Malignant neoplasm of unspecified part of left adrenal gland,Neoplasms,12.0,11.0,22.0
c7a012,c,Malignant carcinoid tumor of the ileum,Neoplasms,,10.0,
c7a090,c,Malignant carcinoid tumor of the bronchus and lung,Neoplasms,28.0,16.0,16.0
c7a1,c,Malignant poorly differentiated neuroendocrine tumors,Neoplasms,50.0,46.0,63.0
c7a8,c,Other malignant neuroendocrine tumors,Neoplasms,127.0,157.0,141.0
c7b02,c,Secondary carcinoid tumors of liver,Neoplasms,28.0,25.0,20.0
c7b09,c,Secondary carcinoid tumors of other sites,Neoplasms,15.0,16.0,10.0
c7b8,c,Other secondary neuroendocrine tumors,Neoplasms,62.0,98.0,99.0
c761,c,Malignant neoplasm of thorax,Neoplasms,16.0,13.0,
c763,c,Malignant neoplasm of pelvis,Neoplasms,15.0,15.0,15.0
c770,c,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",Neoplasms,243.0,247.0,255.0
c771,c,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,Neoplasms,288.0,231.0,247.0
c772,c,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,Neoplasms,499.0,437.0,450.0
c773,c,Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes,Neoplasms,149.0,116.0,96.0
c775,c,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,Neoplasms,154.0,167.0,136.0
c779,c,"Secondary and unspecified malignant neoplasm of lymph node, unspecified",Neoplasms,424.0,359.0,294.0
c7800,c,Secondary malignant neoplasm of unspecified lung,Neoplasms,1286.0,1150.0,1069.0
c7801,c,Secondary malignant neoplasm of right lung,Neoplasms,720.0,633.0,618.0
c7802,c,Secondary malignant neoplasm of left lung,Neoplasms,644.0,596.0,592.0
c781,c,Secondary malignant neoplasm of mediastinum,Neoplasms,95.0,80.0,82.0
c782,c,Secondary malignant neoplasm of pleura,Neoplasms,148.0,163.0,141.0
c784,c,Secondary malignant neoplasm of small intestine,Neoplasms,91.0,107.0,101.0
c785,c,Secondary malignant neoplasm of large intestine and rectum,Neoplasms,166.0,181.0,152.0
c786,c,Secondary malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,1064.0,1012.0,1036.0
c787,c,Secondary malignant neoplasm of liver and intrahepatic bile duct,Neoplasms,2683.0,2508.0,2454.0
c7889,c,Secondary malignant neoplasm of other digestive organs,Neoplasms,262.0,232.0,232.0
c7901,c,Secondary malignant neoplasm of right kidney and renal pelvis,Neoplasms,29.0,28.0,26.0
c7902,c,Secondary malignant neoplasm of left kidney and renal pelvis,Neoplasms,28.0,35.0,27.0
c7911,c,Secondary malignant neoplasm of bladder,Neoplasms,112.0,97.0,92.0
c7931,c,Secondary malignant neoplasm of brain,Neoplasms,1369.0,1219.0,1179.0
