Id,alphabet,Description,Category,Prevalence_20192,Prevalence_20201,Prevalence_20202,Color
e0580,e,Other thyrotoxicosis without thyrotoxic crisis or storm,"Endocrine, nutritional and metabolic diseases",78,94,79,burlywood1
e0822,e,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,"Endocrine, nutritional and metabolic diseases",,,14,burlywood1
e0865,e,Diabetes mellitus due to underlying condition with hyperglycemia,"Endocrine, nutritional and metabolic diseases",50,35,42,burlywood1
e1022,e,Type 1 diabetes mellitus with diabetic chronic kidney disease,"Endocrine, nutritional and metabolic diseases",1020,896,939,burlywood1
e10319,e,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,"Endocrine, nutritional and metabolic diseases",274,247,236,burlywood1
e1042,e,Type 1 diabetes mellitus with diabetic polyneuropathy,"Endocrine, nutritional and metabolic diseases",473,423,414,burlywood1
e1043,e,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,"Endocrine, nutritional and metabolic diseases",631,529,517,burlywood1
e1052,e,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,"Endocrine, nutritional and metabolic diseases",76,52,53,burlywood1
e10621,e,Type 1 diabetes mellitus with foot ulcer,"Endocrine, nutritional and metabolic diseases",252,224,218,burlywood1
e10628,e,Type 1 diabetes mellitus with other skin complications,"Endocrine, nutritional and metabolic diseases",79,44,64,burlywood1
e10649,e,Type 1 diabetes mellitus with hypoglycemia without coma,"Endocrine, nutritional and metabolic diseases",539,492,483,burlywood1
e1065,e,Type 1 diabetes mellitus with hyperglycemia,"Endocrine, nutritional and metabolic diseases",1081,946,1029,burlywood1
e1069,e,Type 1 diabetes mellitus with other specified complication,"Endocrine, nutritional and metabolic diseases",195,145,144,burlywood1
e1122,e,Type 2 diabetes mellitus with diabetic chronic kidney disease,"Endocrine, nutritional and metabolic diseases",24829,24634,25015,burlywood1
e1139,e,Type 2 diabetes mellitus with other diabetic ophthalmic complication,"Endocrine, nutritional and metabolic diseases",204,161,169,burlywood1
e1142,e,Type 2 diabetes mellitus with diabetic polyneuropathy,"Endocrine, nutritional and metabolic diseases",8347,7598,7812,burlywood1
e1143,e,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,"Endocrine, nutritional and metabolic diseases",1357,1292,1306,burlywood1
e1152,e,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,"Endocrine, nutritional and metabolic diseases",1378,1501,1486,burlywood1
e11621,e,Type 2 diabetes mellitus with foot ulcer,"Endocrine, nutritional and metabolic diseases",4404,3827,3930,burlywood1
e11628,e,Type 2 diabetes mellitus with other skin complications,"Endocrine, nutritional and metabolic diseases",1136,964,1135,burlywood1
e1165,e,Type 2 diabetes mellitus with hyperglycemia,"Endocrine, nutritional and metabolic diseases",20251,20334,24087,burlywood1
e1169,e,Type 2 diabetes mellitus with other specified complication,"Endocrine, nutritional and metabolic diseases",2889,2672,2707,burlywood1
e119,e,Type 2 diabetes mellitus without complications,"Endocrine, nutritional and metabolic diseases",26239,25236,26547,burlywood1
e1365,e,Other specified diabetes mellitus with hyperglycemia,"Endocrine, nutritional and metabolic diseases",30,31,20,burlywood1
e230,e,Hypopituitarism,"Endocrine, nutritional and metabolic diseases",227,261,229,burlywood1
e232,e,Diabetes insipidus,"Endocrine, nutritional and metabolic diseases",247,260,224,burlywood1
e43,e,Unspecified severe protein-calorie malnutrition,"Endocrine, nutritional and metabolic diseases",7825,7548,7999,burlywood1
e509,e,"Vitamin A deficiency, unspecified","Endocrine, nutritional and metabolic diseases",36,45,18,burlywood1
e60,e,Dietary zinc deficiency,"Endocrine, nutritional and metabolic diseases",34,34,37,burlywood1
e6601,e,Morbid (severe) obesity due to excess calories,"Endocrine, nutritional and metabolic diseases",19262,18004,22073,burlywood1
e662,e,Morbid (severe) obesity with alveolar hypoventilation,"Endocrine, nutritional and metabolic diseases",1672,1813,1840,burlywood1
e785,e,"Hyperlipidemia, unspecified","Endocrine, nutritional and metabolic diseases",79351,77339,80662,burlywood1
e8342,e,Hypomagnesemia,"Endocrine, nutritional and metabolic diseases",15077,14781,13324,burlywood1
e8359,e,Other disorders of calcium metabolism,"Endocrine, nutritional and metabolic diseases",115,111,145,burlywood1
e840,e,Cystic fibrosis with pulmonary manifestations,"Endocrine, nutritional and metabolic diseases",137,96,65,burlywood1
e848,e,Cystic fibrosis with other manifestations,"Endocrine, nutritional and metabolic diseases",122,78,74,burlywood1
e854,e,Organ-limited amyloidosis,"Endocrine, nutritional and metabolic diseases",171,202,198,burlywood1
e860,e,Dehydration,"Endocrine, nutritional and metabolic diseases",28636,27063,26352,burlywood1
e870,e,Hyperosmolality and hypernatremia,"Endocrine, nutritional and metabolic diseases",5381,5897,7351,burlywood1
e871,e,Hypo-osmolality and hyponatremia,"Endocrine, nutritional and metabolic diseases",29894,33888,39169,burlywood1
e872,e,Acidosis,"Endocrine, nutritional and metabolic diseases",28250,29443,32866,burlywood1
e875,e,Hyperkalemia,"Endocrine, nutritional and metabolic diseases",12747,13477,14755,burlywood1
e876,e,Hypokalemia,"Endocrine, nutritional and metabolic diseases",39187,38932,42711,burlywood1
e881,e,"Lipodystrophy, not elsewhere classified","Endocrine, nutritional and metabolic diseases",14,11,18,burlywood1
e890,e,Postprocedural hypothyroidism,"Endocrine, nutritional and metabolic diseases",2309,2032,2473,burlywood1
e891,e,Postprocedural hypoinsulinemia,"Endocrine, nutritional and metabolic diseases",37,30,36,burlywood1
f0280,f,Dementia in other diseases classified elsewhere without behavioral disturbance,Mental and behavioural disorders,3520,3475,3371,goldenrod
f1120,f,"Opioid dependence, uncomplicated",Mental and behavioural disorders,7490,6772,6720,goldenrod
f1123,f,Opioid dependence with withdrawal,Mental and behavioural disorders,4430,4251,5234,goldenrod
f1210,f,"Cannabis abuse, uncomplicated",Mental and behavioural disorders,4241,4386,4909,goldenrod
f1220,f,"Cannabis dependence, uncomplicated",Mental and behavioural disorders,2049,2182,2522,goldenrod
f1510,f,"Other stimulant abuse, uncomplicated",Mental and behavioural disorders,7140,7217,7856,goldenrod
f1520,f,"Other stimulant dependence, uncomplicated",Mental and behavioural disorders,3650,3697,3853,goldenrod
f17200,f,"Nicotine dependence, unspecified, uncomplicated",Mental and behavioural disorders,9362,8441,8393,goldenrod
f3289,f,Other specified depressive episodes,Mental and behavioural disorders,716,704,550,goldenrod
f329,f,"Major depressive disorder, single episode, unspecified",Mental and behavioural disorders,36813,33103,35147,goldenrod
f332,f,"Major depressive disorder, recurrent severe without psychotic features",Mental and behavioural disorders,6260,6225,6930,goldenrod
f419,f,"Anxiety disorder, unspecified",Mental and behavioural disorders,37170,34708,37785,goldenrod
f530,f,Postpartum depression,Mental and behavioural disorders,100,88,74,goldenrod
f88,f,Other disorders of psychological development,Mental and behavioural disorders,628,628,515,goldenrod
g061,g,Intraspinal abscess and granuloma,Diseases of the nervous system,341,343,273,grey
g20,g,Parkinson's disease,Diseases of the nervous system,3532,3388,3352,grey
g309,g,"Alzheimer's disease, unspecified",Diseases of the nervous system,2663,2524,2431,grey
g4453,g,Primary thunderclap headache,Diseases of the nervous system,20,23,14,grey
g4733,g,Obstructive sleep apnea (adult) (pediatric),Diseases of the nervous system,19015,17393,17755,grey
g546,g,Phantom limb syndrome with pain,Diseases of the nervous system,283,234,203,grey
g800,g,Spastic quadriplegic cerebral palsy,Diseases of the nervous system,283,262,235,grey
g8191,g,"Hemiplegia, unspecified affecting right dominant side",Diseases of the nervous system,1992,2013,1883,grey
g8194,g,"Hemiplegia, unspecified affecting left nondominant side",Diseases of the nervous system,2137,2204,2115,grey
g8220,g,"Paraplegia, unspecified",Diseases of the nervous system,1240,1145,1098,grey
g8929,g,Other chronic pain,Diseases of the nervous system,24935,22091,20464,grey
g893,g,Neoplasm related pain (acute) (chronic),Diseases of the nervous system,2033,1893,1675,grey
g894,g,Chronic pain syndrome,Diseases of the nervous system,5622,4786,4774,grey
g90512,g,Complex regional pain syndrome I of left upper limb,Diseases of the nervous system,,,10,grey
g90522,g,Complex regional pain syndrome I of left lower limb,Diseases of the nervous system,14,,18,grey
g919,g,"Hydrocephalus, unspecified",Diseases of the nervous system,699,642,658,grey
g931,g,"Anoxic brain damage, not elsewhere classified",Diseases of the nervous system,1263,1357,1540,grey
g9341,g,Metabolic encephalopathy,Diseases of the nervous system,12634,14238,16454,grey
g935,g,Compression of brain,Diseases of the nervous system,1279,1345,1291,grey
g936,g,Cerebral edema,Diseases of the nervous system,2674,2604,2487,grey
h01003,h,"Unspecified blepharitis right eye, unspecified eyelid",Diseases of the eye and ear,10,,14,grey
h01006,h,"Unspecified blepharitis left eye, unspecified eyelid",Diseases of the eye and ear,12,14,14,grey
h02402,h,Unspecified ptosis of left eyelid,Diseases of the eye and ear,82,96,79,grey
h179,h,Unspecified corneal scar and opacity,Diseases of the eye and ear,16,14,14,grey
h2101,h,"Hyphema, right eye",Diseases of the eye and ear,,,12,grey
h35113,h,"Retinopathy of prematurity, stage 0, bilateral",Diseases of the eye and ear,36,51,93,grey
h42,h,Glaucoma in diseases classified elsewhere,Diseases of the eye and ear,76,57,64,grey
h4902,h,"Third [oculomotor] nerve palsy, left eye",Diseases of the eye and ear,51,53,55,grey
h52209,h,"Unspecified astigmatism, unspecified eye",Diseases of the eye and ear,17,,12,grey
h524,h,Presbyopia,Diseases of the eye and ear,23,19,14,grey
h53129,h,"Transient visual loss, unspecified eye",Diseases of the eye and ear,,13,12,grey
h9041,h,"Sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side",Diseases of the eye and ear,22,15,21,grey
i10,i,Essential (primary) hypertension,Diseases of the circulatory system,103037,96804,102006,aquamarine
i110,i,Hypertensive heart disease with heart failure,Diseases of the circulatory system,16747,17829,16627,aquamarine
i120,i,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,Diseases of the circulatory system,6147,5767,6173,aquamarine
i129,i,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",Diseases of the circulatory system,19798,18262,19356,aquamarine
i130,i,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",Diseases of the circulatory system,11314,11560,11023,aquamarine
i132,i,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",Diseases of the circulatory system,3530,3672,3599,aquamarine
i21a9,i,Other myocardial infarction type,Diseases of the circulatory system,40,62,55,aquamarine
i2510,i,Atherosclerotic heart disease of native coronary artery without angina pectoris,Diseases of the circulatory system,47685,46927,44886,aquamarine
i252,i,Old myocardial infarction,Diseases of the circulatory system,14706,13407,13097,aquamarine
i255,i,Ischemic cardiomyopathy,Diseases of the circulatory system,6785,6455,6102,aquamarine
i2690,i,Septic pulmonary embolism without acute cor pulmonale,Diseases of the circulatory system,176,178,136,aquamarine
i2729,i,Other secondary pulmonary hypertension,Diseases of the circulatory system,898,821,793,aquamarine
i2781,i,Cor pulmonale (chronic),Diseases of the circulatory system,587,594,464,aquamarine
i330,i,Acute and subacute infective endocarditis,Diseases of the circulatory system,651,640,619,aquamarine
i350,i,Nonrheumatic aortic (valve) stenosis,Diseases of the circulatory system,4073,3980,3503,aquamarine
i43,i,Cardiomyopathy in diseases classified elsewhere,Diseases of the circulatory system,270,274,262,aquamarine
i462,i,Cardiac arrest due to underlying cardiac condition,Diseases of the circulatory system,369,361,532,aquamarine
i469,i,"Cardiac arrest, cause unspecified",Diseases of the circulatory system,1611,1995,2557,aquamarine
i480,i,Paroxysmal atrial fibrillation,Diseases of the circulatory system,18570,17896,17545,aquamarine
i4891,i,Unspecified atrial fibrillation,Diseases of the circulatory system,17549,16715,16298,aquamarine
i4901,i,Ventricular fibrillation,Diseases of the circulatory system,818,838,897,aquamarine
i495,i,Sick sinus syndrome,Diseases of the circulatory system,3114,3045,3062,aquamarine
i5022,i,Chronic systolic (congestive) heart failure,Diseases of the circulatory system,5689,5853,5879,aquamarine
i5023,i,Acute on chronic systolic (congestive) heart failure,Diseases of the circulatory system,6125,6771,6331,aquamarine
i5032,i,Chronic diastolic (congestive) heart failure,Diseases of the circulatory system,5629,6075,5938,aquamarine
i5084,i,End stage heart failure,Diseases of the circulatory system,357,303,293,aquamarine
i509,i,"Heart failure, unspecified",Diseases of the circulatory system,10019,9430,8974,aquamarine
i5189,i,Other ill-defined heart diseases,Diseases of the circulatory system,136,142,163,aquamarine
i67841,i,Reversible cerebrovascular vasoconstriction syndrome,Diseases of the circulatory system,,10,10,aquamarine
i680,i,Cerebral amyloid angiopathy,Diseases of the circulatory system,102,123,131,aquamarine
i69018,i,Other symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage,Diseases of the circulatory system,,10,10,aquamarine
i69020,i,Aphasia following nontraumatic subarachnoid hemorrhage,Diseases of the circulatory system,13,,10,aquamarine
i69051,i,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dominant side,Diseases of the circulatory system,10,,12,aquamarine
i69054,i,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-dominant side,Diseases of the circulatory system,10,,12,aquamarine
i69091,i,Dysphagia following nontraumatic subarachnoid hemorrhage,Diseases of the circulatory system,22,19,19,aquamarine
i69098,i,Other sequelae following nontraumatic subarachnoid hemorrhage,Diseases of the circulatory system,21,18,25,aquamarine
i69110,i,Attention and concentration deficit following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,12,16,18,aquamarine
i69111,i,Memory deficit following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,27,30,23,aquamarine
i69112,i,Visuospatial deficit and spatial neglect following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,21,30,22,aquamarine
i69114,i,Frontal lobe and executive function deficit following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,12,16,16,aquamarine
i69118,i,Other symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,53,47,56,aquamarine
i69119,i,Unspecified symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,66,66,48,aquamarine
i69120,i,Aphasia following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,83,91,91,aquamarine
i69122,i,Dysarthria following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,67,75,92,aquamarine
i69151,i,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right dominant side,Diseases of the circulatory system,91,93,87,aquamarine
i69154,i,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non-dominant side,Diseases of the circulatory system,92,108,102,aquamarine
i69191,i,Dysphagia following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,128,140,106,aquamarine
i69192,i,Facial weakness following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,60,59,56,aquamarine
i69198,i,Other sequelae of nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,98,113,118,aquamarine
i69218,i,Other symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage,Diseases of the circulatory system,10,,13,aquamarine
i69219,i,Unspecified symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage,Diseases of the circulatory system,17,20,14,aquamarine
i69220,i,Aphasia following other nontraumatic intracranial hemorrhage,Diseases of the circulatory system,22,31,21,aquamarine
i69222,i,Dysarthria following other nontraumatic intracranial hemorrhage,Diseases of the circulatory system,,16,13,aquamarine
i69251,i,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right dominant side,Diseases of the circulatory system,37,40,32,aquamarine
i69254,i,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left non-dominant side,Diseases of the circulatory system,36,32,30,aquamarine
i69291,i,Dysphagia following other nontraumatic intracranial hemorrhage,Diseases of the circulatory system,19,31,23,aquamarine
i69292,i,Facial weakness following other nontraumatic intracranial hemorrhage,Diseases of the circulatory system,,,12,aquamarine
i69298,i,Other sequelae of other nontraumatic intracranial hemorrhage,Diseases of the circulatory system,33,44,33,aquamarine
i69310,i,Attention and concentration deficit following cerebral infarction,Diseases of the circulatory system,77,73,80,aquamarine
i69311,i,Memory deficit following cerebral infarction,Diseases of the circulatory system,314,285,277,aquamarine
i69312,i,Visuospatial deficit and spatial neglect following cerebral infarction,Diseases of the circulatory system,123,155,140,aquamarine
i69314,i,Frontal lobe and executive function deficit following cerebral infarction,Diseases of the circulatory system,94,70,95,aquamarine
i69318,i,Other symptoms and signs involving cognitive functions following cerebral infarction,Diseases of the circulatory system,274,319,375,aquamarine
i69320,i,Aphasia following cerebral infarction,Diseases of the circulatory system,1212,1198,1218,aquamarine
i69322,i,Dysarthria following cerebral infarction,Diseases of the circulatory system,882,840,832,aquamarine
i69351,i,Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side,Diseases of the circulatory system,2101,2070,1922,aquamarine
i69391,i,Dysphagia following cerebral infarction,Diseases of the circulatory system,961,1039,972,aquamarine
i69392,i,Facial weakness following cerebral infarction,Diseases of the circulatory system,629,600,595,aquamarine
i69398,i,Other sequelae of cerebral infarction,Diseases of the circulatory system,1153,1231,1184,aquamarine
i70243,i,Atherosclerosis of native arteries of left leg with ulceration of ankle,Diseases of the circulatory system,14,10,14,aquamarine
i724,i,Aneurysm of artery of lower extremity,Diseases of the circulatory system,268,232,256,aquamarine
i76,i,Septic arterial embolism,Diseases of the circulatory system,211,191,227,aquamarine
i82411,i,Acute embolism and thrombosis of right femoral vein,Diseases of the circulatory system,699,599,760,aquamarine
i82412,i,Acute embolism and thrombosis of left femoral vein,Diseases of the circulatory system,796,699,812,aquamarine
i82413,i,"Acute embolism and thrombosis of femoral vein, bilateral",Diseases of the circulatory system,197,169,219,aquamarine
i82431,i,Acute embolism and thrombosis of right popliteal vein,Diseases of the circulatory system,603,513,641,aquamarine
i82432,i,Acute embolism and thrombosis of left popliteal vein,Diseases of the circulatory system,708,576,785,aquamarine
i82433,i,"Acute embolism and thrombosis of popliteal vein, bilateral",Diseases of the circulatory system,126,114,188,aquamarine
i82441,i,Acute embolism and thrombosis of right tibial vein,Diseases of the circulatory system,277,258,342,aquamarine
i82442,i,Acute embolism and thrombosis of left tibial vein,Diseases of the circulatory system,261,247,337,aquamarine
i82443,i,"Acute embolism and thrombosis of tibial vein, bilateral",Diseases of the circulatory system,56,59,77,aquamarine
i82451,i,Acute embolism and thrombosis of right peroneal vein,Diseases of the circulatory system,104,210,290,aquamarine
i82452,i,Acute embolism and thrombosis of left peroneal vein,Diseases of the circulatory system,139,219,341,aquamarine
i82453,i,"Acute embolism and thrombosis of peroneal vein, bilateral",Diseases of the circulatory system,31,65,83,aquamarine
i82511,i,Chronic embolism and thrombosis of right femoral vein,Diseases of the circulatory system,98,102,91,aquamarine
i82512,i,Chronic embolism and thrombosis of left femoral vein,Diseases of the circulatory system,133,122,137,aquamarine
i82513,i,"Chronic embolism and thrombosis of femoral vein, bilateral",Diseases of the circulatory system,52,23,36,aquamarine
i82531,i,Chronic embolism and thrombosis of right popliteal vein,Diseases of the circulatory system,77,59,59,aquamarine
i82532,i,Chronic embolism and thrombosis of left popliteal vein,Diseases of the circulatory system,81,85,92,aquamarine
i82533,i,"Chronic embolism and thrombosis of popliteal vein, bilateral",Diseases of the circulatory system,31,14,18,aquamarine
i82542,i,Chronic embolism and thrombosis of left tibial vein,Diseases of the circulatory system,14,13,12,aquamarine
i82552,i,Chronic embolism and thrombosis of left peroneal vein,Diseases of the circulatory system,,11,11,aquamarine
i82a11,i,Acute embolism and thrombosis of right axillary vein,Diseases of the circulatory system,101,100,129,aquamarine
i82a12,i,Acute embolism and thrombosis of left axillary vein,Diseases of the circulatory system,96,88,94,aquamarine
i82b11,i,Acute embolism and thrombosis of right subclavian vein,Diseases of the circulatory system,120,120,141,aquamarine
i82b12,i,Acute embolism and thrombosis of left subclavian vein,Diseases of the circulatory system,136,149,150,aquamarine
i83009,i,Varicose veins of unspecified lower extremity with ulcer of unspecified site,Diseases of the circulatory system,70,62,47,aquamarine
i83018,i,Varicose veins of right lower extremity with ulcer other part of lower leg,Diseases of the circulatory system,67,62,75,aquamarine
i83019,i,Varicose veins of right lower extremity with ulcer of unspecified site,Diseases of the circulatory system,43,37,34,aquamarine
i83028,i,Varicose veins of left lower extremity with ulcer other part of lower leg,Diseases of the circulatory system,67,67,83,aquamarine
i83029,i,Varicose veins of left lower extremity with ulcer of unspecified site,Diseases of the circulatory system,41,38,32,aquamarine
i8311,i,Varicose veins of right lower extremity with inflammation,Diseases of the circulatory system,34,25,32,aquamarine
i8312,i,Varicose veins of left lower extremity with inflammation,Diseases of the circulatory system,33,29,32,aquamarine
i83218,i,Varicose veins of right lower extremity with both ulcer of other part of lower extremity and inflammation,Diseases of the circulatory system,36,29,27,aquamarine
i83228,i,Varicose veins of left lower extremity with both ulcer of other part of lower extremity and inflammation,Diseases of the circulatory system,37,33,34,aquamarine
i8510,i,Secondary esophageal varices without bleeding,Diseases of the circulatory system,1047,1029,1314,aquamarine
i8511,i,Secondary esophageal varices with bleeding,Diseases of the circulatory system,467,505,604,aquamarine
i864,i,Gastric varices,Diseases of the circulatory system,249,257,294,aquamarine
i96,i,"Gangrene, not elsewhere classified",Diseases of the circulatory system,1155,1069,1251,aquamarine
i97120,i,Postprocedural cardiac arrest following cardiac surgery,Diseases of the circulatory system,13,14,12,aquamarine
i97611,i,Postprocedural hemorrhage of a circulatory system organ or structure following cardiac bypass,Diseases of the circulatory system,21,13,13,aquamarine
j1289,j,Other viral pneumonia,Diseases of the respiratory system,118,6736,28037,darkorchid1
j189,j,"Pneumonia, unspecified organism",Diseases of the respiratory system,14249,20429,16609,darkorchid1
j321,j,Chronic frontal sinusitis,Diseases of the respiratory system,30,26,22,darkorchid1
j322,j,Chronic ethmoidal sinusitis,Diseases of the respiratory system,60,43,41,darkorchid1
j440,j,Chronic obstructive pulmonary disease with (acute) lower respiratory infection,Diseases of the respiratory system,6380,8940,7056,darkorchid1
j441,j,Chronic obstructive pulmonary disease with (acute) exacerbation,Diseases of the respiratory system,9901,11824,7968,darkorchid1
j705,j,Respiratory conditions due to smoke inhalation,Diseases of the respiratory system,38,35,23,darkorchid1
j80,j,Acute respiratory distress syndrome,Diseases of the respiratory system,210,1028,3279,darkorchid1
j9601,j,Acute respiratory failure with hypoxia,Diseases of the respiratory system,24494,33592,43266,darkorchid1
j9611,j,Chronic respiratory failure with hypoxia,Diseases of the respiratory system,3236,3096,3084,darkorchid1
j9621,j,Acute and chronic respiratory failure with hypoxia,Diseases of the respiratory system,9129,10443,8905,darkorchid1
j9622,j,Acute and chronic respiratory failure with hypercapnia,Diseases of the respiratory system,2727,3012,2300,darkorchid1
k029,k,"Dental caries, unspecified",Diseases of the digestive system,630,576,453,grey
