Id,alphabet,Description,Category,Prevalence_20192,Prevalence_20201,Prevalence_20202,Color
d125,d,Benign neoplasm of sigmoid colon,Blood and immune disorders ,160,120,100,grey
d252,d,Subserosal leiomyoma of uterus,Blood and immune disorders ,161,121,146,grey
d259,d,"Leiomyoma of uterus, unspecified",Blood and immune disorders ,1200,981,1031,grey
d4709,d,Other mast cell neoplasms of uncertain behavior,Blood and immune disorders ,,14,,grey
d5740,d,Sickle-cell thalassemia without crisis,Blood and immune disorders ,10,15,,grey
d61810,d,Antineoplastic chemotherapy induced pancytopenia,Blood and immune disorders ,1969,1813,1836,grey
d631,d,Anemia in chronic kidney disease,Blood and immune disorders ,13546,13068,,grey
d6481,d,Anemia due to antineoplastic chemotherapy,Blood and immune disorders ,1257,1149,959,grey
d6832,d,Hemorrhagic disorder due to extrinsic circulating anticoagulants,Blood and immune disorders ,554,542,600,grey
d684,d,Acquired coagulation factor deficiency,Blood and immune disorders ,1894,1754,2163,grey
d709,d,"Neutropenia, unspecified",Blood and immune disorders ,1227,1096,1170,grey
d89811,d,Chronic graft-versus-host disease,Blood and immune disorders ,81,90,56,grey
d89813,d,"Graft-versus-host disease, unspecified",Blood and immune disorders ,100,86,91,grey
e038,e,Other specified hypothyroidism,"Endocrine, nutritional and metabolic diseases",239,226,210,burlywood1
e039,e,"Hypothyroidism, unspecified","Endocrine, nutritional and metabolic diseases",43241,40337,40374,burlywood1
e0580,e,Other thyrotoxicosis without thyrotoxic crisis or storm,"Endocrine, nutritional and metabolic diseases",78,94,79,burlywood1
e0865,e,Diabetes mellitus due to underlying condition with hyperglycemia,"Endocrine, nutritional and metabolic diseases",50,35,42,burlywood1
e089,e,Diabetes mellitus due to underlying condition without complications,"Endocrine, nutritional and metabolic diseases",50,33,31,burlywood1
e1022,e,Type 1 diabetes mellitus with diabetic chronic kidney disease,"Endocrine, nutritional and metabolic diseases",1020,896,939,burlywood1
e10319,e,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,"Endocrine, nutritional and metabolic diseases",274,247,236,burlywood1
e1042,e,Type 1 diabetes mellitus with diabetic polyneuropathy,"Endocrine, nutritional and metabolic diseases",473,423,414,burlywood1
e1043,e,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,"Endocrine, nutritional and metabolic diseases",631,529,517,burlywood1
e10621,e,Type 1 diabetes mellitus with foot ulcer,"Endocrine, nutritional and metabolic diseases",252,224,218,burlywood1
e10649,e,Type 1 diabetes mellitus with hypoglycemia without coma,"Endocrine, nutritional and metabolic diseases",539,492,483,burlywood1
e1065,e,Type 1 diabetes mellitus with hyperglycemia,"Endocrine, nutritional and metabolic diseases",1081,946,1029,burlywood1
e1069,e,Type 1 diabetes mellitus with other specified complication,"Endocrine, nutritional and metabolic diseases",195,145,144,burlywood1
e109,e,Type 1 diabetes mellitus without complications,"Endocrine, nutritional and metabolic diseases",413,387,409,burlywood1
e1122,e,Type 2 diabetes mellitus with diabetic chronic kidney disease,"Endocrine, nutritional and metabolic diseases",24829,24634,25015,burlywood1
e1139,e,Type 2 diabetes mellitus with other diabetic ophthalmic complication,"Endocrine, nutritional and metabolic diseases",204,161,169,burlywood1
e1142,e,Type 2 diabetes mellitus with diabetic polyneuropathy,"Endocrine, nutritional and metabolic diseases",8347,7598,7812,burlywood1
e1143,e,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,"Endocrine, nutritional and metabolic diseases",1357,1292,1306,burlywood1
e1152,e,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,"Endocrine, nutritional and metabolic diseases",1378,1501,1486,burlywood1
e11621,e,Type 2 diabetes mellitus with foot ulcer,"Endocrine, nutritional and metabolic diseases",4404,3827,3930,burlywood1
e1165,e,Type 2 diabetes mellitus with hyperglycemia,"Endocrine, nutritional and metabolic diseases",20251,20334,24087,burlywood1
e1169,e,Type 2 diabetes mellitus with other specified complication,"Endocrine, nutritional and metabolic diseases",2889,2672,2707,burlywood1
e119,e,Type 2 diabetes mellitus without complications,"Endocrine, nutritional and metabolic diseases",26239,25236,26547,burlywood1
e139,e,Other specified diabetes mellitus without complications,"Endocrine, nutritional and metabolic diseases",36,40,45,burlywood1
e230,e,Hypopituitarism,"Endocrine, nutritional and metabolic diseases",227,261,229,burlywood1
e232,e,Diabetes insipidus,"Endocrine, nutritional and metabolic diseases",247,260,224,burlywood1
e43,e,Unspecified severe protein-calorie malnutrition,"Endocrine, nutritional and metabolic diseases",7825,7548,7999,burlywood1
e509,e,"Vitamin A deficiency, unspecified","Endocrine, nutritional and metabolic diseases",36,45,18,burlywood1
e560,e,Deficiency of vitamin E,"Endocrine, nutritional and metabolic diseases",,12,,burlywood1
e60,e,Dietary zinc deficiency,"Endocrine, nutritional and metabolic diseases",34,34,37,burlywood1
e6601,e,Morbid (severe) obesity due to excess calories,"Endocrine, nutritional and metabolic diseases",19262,18004,22073,burlywood1
e662,e,Morbid (severe) obesity with alveolar hypoventilation,"Endocrine, nutritional and metabolic diseases",1672,1813,1840,burlywood1
e673,e,Hypervitaminosis D,"Endocrine, nutritional and metabolic diseases",,15,,burlywood1
e785,e,"Hyperlipidemia, unspecified","Endocrine, nutritional and metabolic diseases",79351,77339,80662,burlywood1
e8342,e,Hypomagnesemia,"Endocrine, nutritional and metabolic diseases",15077,14781,13324,burlywood1
e8359,e,Other disorders of calcium metabolism,"Endocrine, nutritional and metabolic diseases",115,111,145,burlywood1
e840,e,Cystic fibrosis with pulmonary manifestations,"Endocrine, nutritional and metabolic diseases",137,96,65,burlywood1
e848,e,Cystic fibrosis with other manifestations,"Endocrine, nutritional and metabolic diseases",122,78,74,burlywood1
e854,e,Organ-limited amyloidosis,"Endocrine, nutritional and metabolic diseases",171,202,198,burlywood1
e860,e,Dehydration,"Endocrine, nutritional and metabolic diseases",28636,27063,26352,burlywood1
e871,e,Hypo-osmolality and hyponatremia,"Endocrine, nutritional and metabolic diseases",29894,33888,39169,burlywood1
e872,e,Acidosis,"Endocrine, nutritional and metabolic diseases",28250,29443,32866,burlywood1
e875,e,Hyperkalemia,"Endocrine, nutritional and metabolic diseases",12747,13477,14755,burlywood1
e876,e,Hypokalemia,"Endocrine, nutritional and metabolic diseases",39187,38932,42711,burlywood1
e890,e,Postprocedural hypothyroidism,"Endocrine, nutritional and metabolic diseases",2309,2032,2473,burlywood1
e891,e,Postprocedural hypoinsulinemia,"Endocrine, nutritional and metabolic diseases",37,30,36,burlywood1
f0280,f,Dementia in other diseases classified elsewhere without behavioral disturbance,Mental and behavioural disorders,3520,3475,3371,goldenrod
f070,f,Personality change due to known physiological condition,Mental and behavioural disorders,15,32,19,goldenrod
f1120,f,"Opioid dependence, uncomplicated",Mental and behavioural disorders,7490,6772,6720,goldenrod
f1123,f,Opioid dependence with withdrawal,Mental and behavioural disorders,4430,4251,5234,goldenrod
f1210,f,"Cannabis abuse, uncomplicated",Mental and behavioural disorders,4241,4386,4909,goldenrod
f12229,f,"Cannabis dependence with intoxication, unspecified",Mental and behavioural disorders,,34,,goldenrod
f1510,f,"Other stimulant abuse, uncomplicated",Mental and behavioural disorders,7140,7217,7856,goldenrod
f1520,f,"Other stimulant dependence, uncomplicated",Mental and behavioural disorders,3650,3697,3853,goldenrod
f15229,f,"Other stimulant dependence with intoxication, unspecified",Mental and behavioural disorders,43,74,32,goldenrod
f17213,f,"Nicotine dependence, cigarettes, with withdrawal",Mental and behavioural disorders,391,391,287,goldenrod
f3289,f,Other specified depressive episodes,Mental and behavioural disorders,716,704,550,goldenrod
f329,f,"Major depressive disorder, single episode, unspecified",Mental and behavioural disorders,36813,33103,35147,goldenrod
f332,f,"Major depressive disorder, recurrent severe without psychotic features",Mental and behavioural disorders,6260,6225,6930,goldenrod
f3481,f,Disruptive mood dysregulation disorder,Mental and behavioural disorders,699,878,965,goldenrod
f419,f,"Anxiety disorder, unspecified",Mental and behavioural disorders,37170,34708,37785,goldenrod
f530,f,Postpartum depression,Mental and behavioural disorders,100,88,74,goldenrod
f73,f,Profound intellectual disabilities,Mental and behavioural disorders,57,68,42,goldenrod
f88,f,Other disorders of psychological development,Mental and behavioural disorders,628,628,515,goldenrod
f902,f,"Attention-deficit hyperactivity disorder, combined type",Mental and behavioural disorders,453,424,396,goldenrod
g061,g,Intraspinal abscess and granuloma,Diseases of the nervous system,341,343,273,grey
g20,g,Parkinson's disease,Diseases of the nervous system,3532,3388,3352,grey
g309,g,"Alzheimer's disease, unspecified",Diseases of the nervous system,2663,2524,2431,grey
g4440,g,"Drug-induced headache, not elsewhere classified, not intractable",Diseases of the nervous system,76,45,39,grey
g4733,g,Obstructive sleep apnea (adult) (pediatric),Diseases of the nervous system,19015,17393,17755,grey
g546,g,Phantom limb syndrome with pain,Diseases of the nervous system,283,234,203,grey
g800,g,Spastic quadriplegic cerebral palsy,Diseases of the nervous system,283,262,235,grey
g8191,g,"Hemiplegia, unspecified affecting right dominant side",Diseases of the nervous system,1992,2013,1883,grey
g8194,g,"Hemiplegia, unspecified affecting left nondominant side",Diseases of the nervous system,2137,2204,2115,grey
g8220,g,"Paraplegia, unspecified",Diseases of the nervous system,1240,1145,1098,grey
g8929,g,Other chronic pain,Diseases of the nervous system,24935,22091,20464,grey
g893,g,Neoplasm related pain (acute) (chronic),Diseases of the nervous system,2033,1893,1675,grey
g894,g,Chronic pain syndrome,Diseases of the nervous system,5622,4786,4774,grey
g919,g,"Hydrocephalus, unspecified",Diseases of the nervous system,699,642,658,grey
g931,g,"Anoxic brain damage, not elsewhere classified",Diseases of the nervous system,1263,1357,1540,grey
g9341,g,Metabolic encephalopathy,Diseases of the nervous system,12634,14238,16454,grey
g935,g,Compression of brain,Diseases of the nervous system,1279,1345,1291,grey
g936,g,Cerebral edema,Diseases of the nervous system,2674,2604,2487,grey
h02402,h,Unspecified ptosis of left eyelid,Diseases of the eye and ear,82,96,79,grey
h35123,h,"Retinopathy of prematurity, stage 1, bilateral",Diseases of the eye and ear,32,41,31,grey
h35133,h,"Retinopathy of prematurity, stage 2, bilateral",Diseases of the eye and ear,18,18,16,grey
h42,h,Glaucoma in diseases classified elsewhere,Diseases of the eye and ear,76,57,64,grey
h47611,h,"Cortical blindness, right side of brain",Diseases of the eye and ear,,12,,grey
h47612,h,"Cortical blindness, left side of brain",Diseases of the eye and ear,,11,,grey
h4902,h,"Third [oculomotor] nerve palsy, left eye",Diseases of the eye and ear,51,53,55,grey
i10,i,Essential (primary) hypertension,Diseases of the circulatory system,103037,96804,102006,aquamarine
i110,i,Hypertensive heart disease with heart failure,Diseases of the circulatory system,16747,17829,16627,aquamarine
i120,i,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,Diseases of the circulatory system,6147,5767,6173,aquamarine
i129,i,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",Diseases of the circulatory system,19798,18262,19356,aquamarine
i130,i,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",Diseases of the circulatory system,11314,11560,11023,aquamarine
i132,i,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",Diseases of the circulatory system,3530,3672,3599,aquamarine
i21a9,i,Other myocardial infarction type,Diseases of the circulatory system,40,62,55,aquamarine
i2510,i,Atherosclerotic heart disease of native coronary artery without angina pectoris,Diseases of the circulatory system,47685,46927,44886,aquamarine
i252,i,Old myocardial infarction,Diseases of the circulatory system,14706,13407,13097,aquamarine
i255,i,Ischemic cardiomyopathy,Diseases of the circulatory system,6785,6455,6102,aquamarine
i2690,i,Septic pulmonary embolism without acute cor pulmonale,Diseases of the circulatory system,176,178,136,aquamarine
i2729,i,Other secondary pulmonary hypertension,Diseases of the circulatory system,898,821,793,aquamarine
i2781,i,Cor pulmonale (chronic),Diseases of the circulatory system,587,594,464,aquamarine
i330,i,Acute and subacute infective endocarditis,Diseases of the circulatory system,651,640,619,aquamarine
i350,i,Nonrheumatic aortic (valve) stenosis,Diseases of the circulatory system,4073,3980,3503,aquamarine
i43,i,Cardiomyopathy in diseases classified elsewhere,Diseases of the circulatory system,270,274,262,aquamarine
i462,i,Cardiac arrest due to underlying cardiac condition,Diseases of the circulatory system,369,361,532,aquamarine
i469,i,"Cardiac arrest, cause unspecified",Diseases of the circulatory system,1611,1995,2557,aquamarine
i480,i,Paroxysmal atrial fibrillation,Diseases of the circulatory system,18570,17896,17545,aquamarine
i4891,i,Unspecified atrial fibrillation,Diseases of the circulatory system,17549,16715,16298,aquamarine
i4901,i,Ventricular fibrillation,Diseases of the circulatory system,818,838,897,aquamarine
i495,i,Sick sinus syndrome,Diseases of the circulatory system,3114,3045,3062,aquamarine
i5022,i,Chronic systolic (congestive) heart failure,Diseases of the circulatory system,5689,5853,5879,aquamarine
i5023,i,Acute on chronic systolic (congestive) heart failure,Diseases of the circulatory system,6125,6771,6331,aquamarine
i5032,i,Chronic diastolic (congestive) heart failure,Diseases of the circulatory system,5629,6075,5938,aquamarine
i5084,i,End stage heart failure,Diseases of the circulatory system,357,303,293,aquamarine
i509,i,"Heart failure, unspecified",Diseases of the circulatory system,10019,9430,8974,aquamarine
i5189,i,Other ill-defined heart diseases,Diseases of the circulatory system,136,142,163,aquamarine
i6201,i,Nontraumatic acute subdural hemorrhage,Diseases of the circulatory system,152,162,152,aquamarine
i6203,i,Nontraumatic chronic subdural hemorrhage,Diseases of the circulatory system,274,250,261,aquamarine
i63513,i,Cerebral infarction due to unspecified occlusion or stenosis of bilateral middle cerebral arteries,Diseases of the circulatory system,20,22,18,aquamarine
i63533,i,Cerebral infarction due to unspecified occlusion or stenosis of bilateral posterior cerebral arteries,Diseases of the circulatory system,10,14,12,aquamarine
i639,i,"Cerebral infarction, unspecified",Diseases of the circulatory system,3011,2927,2725,aquamarine
i680,i,Cerebral amyloid angiopathy,Diseases of the circulatory system,102,123,131,aquamarine
i69018,i,Other symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage,Diseases of the circulatory system,,10,10,aquamarine
i69091,i,Dysphagia following nontraumatic subarachnoid hemorrhage,Diseases of the circulatory system,22,19,19,aquamarine
i69098,i,Other sequelae following nontraumatic subarachnoid hemorrhage,Diseases of the circulatory system,21,18,25,aquamarine
i69110,i,Attention and concentration deficit following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,12,16,18,aquamarine
i69111,i,Memory deficit following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,27,30,23,aquamarine
i69112,i,Visuospatial deficit and spatial neglect following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,21,30,22,aquamarine
i69114,i,Frontal lobe and executive function deficit following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,12,16,16,aquamarine
i69118,i,Other symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,53,47,56,aquamarine
i69119,i,Unspecified symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,66,66,48,aquamarine
i69120,i,Aphasia following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,83,91,91,aquamarine
i69122,i,Dysarthria following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,67,75,92,aquamarine
i69151,i,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right dominant side,Diseases of the circulatory system,91,93,87,aquamarine
i69154,i,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non-dominant side,Diseases of the circulatory system,92,108,102,aquamarine
i69191,i,Dysphagia following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,128,140,106,aquamarine
i69192,i,Facial weakness following nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,60,59,56,aquamarine
i69198,i,Other sequelae of nontraumatic intracerebral hemorrhage,Diseases of the circulatory system,98,113,118,aquamarine
i69219,i,Unspecified symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage,Diseases of the circulatory system,17,20,14,aquamarine
i69220,i,Aphasia following other nontraumatic intracranial hemorrhage,Diseases of the circulatory system,22,31,21,aquamarine
i69222,i,Dysarthria following other nontraumatic intracranial hemorrhage,Diseases of the circulatory system,,16,13,aquamarine
i69251,i,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right dominant side,Diseases of the circulatory system,37,40,32,aquamarine
i69291,i,Dysphagia following other nontraumatic intracranial hemorrhage,Diseases of the circulatory system,19,31,23,aquamarine
i69298,i,Other sequelae of other nontraumatic intracranial hemorrhage,Diseases of the circulatory system,33,44,33,aquamarine
i69310,i,Attention and concentration deficit following cerebral infarction,Diseases of the circulatory system,77,73,80,aquamarine
i69311,i,Memory deficit following cerebral infarction,Diseases of the circulatory system,314,285,277,aquamarine
i69312,i,Visuospatial deficit and spatial neglect following cerebral infarction,Diseases of the circulatory system,123,155,140,aquamarine
i69314,i,Frontal lobe and executive function deficit following cerebral infarction,Diseases of the circulatory system,94,70,95,aquamarine
i69319,i,Unspecified symptoms and signs involving cognitive functions following cerebral infarction,Diseases of the circulatory system,463,518,376,aquamarine
i69320,i,Aphasia following cerebral infarction,Diseases of the circulatory system,1212,1198,1218,aquamarine
i69322,i,Dysarthria following cerebral infarction,Diseases of the circulatory system,882,840,832,aquamarine
i69351,i,Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side,Diseases of the circulatory system,2101,2070,1922,aquamarine
i69391,i,Dysphagia following cerebral infarction,Diseases of the circulatory system,961,1039,972,aquamarine
i69392,i,Facial weakness following cerebral infarction,Diseases of the circulatory system,629,600,595,aquamarine
i69398,i,Other sequelae of cerebral infarction,Diseases of the circulatory system,1153,1231,1184,aquamarine
i69820,i,Aphasia following other cerebrovascular disease,Diseases of the circulatory system,12,10,,aquamarine
i69822,i,Dysarthria following other cerebrovascular disease,Diseases of the circulatory system,,10,,aquamarine
i69851,i,Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant side,Diseases of the circulatory system,21,19,15,aquamarine
i69892,i,Facial weakness following other cerebrovascular disease,Diseases of the circulatory system,,12,,aquamarine
i69922,i,Dysarthria following unspecified cerebrovascular disease,Diseases of the circulatory system,10,15,,aquamarine
i69991,i,Dysphagia following unspecified cerebrovascular disease,Diseases of the circulatory system,29,19,,aquamarine
i70233,i,Atherosclerosis of native arteries of right leg with ulceration of ankle,Diseases of the circulatory system,,17,16,aquamarine
i70238,i,Atherosclerosis of native arteries of right leg with ulceration of other part of lower leg,Diseases of the circulatory system,21,22,,aquamarine
i70248,i,Atherosclerosis of native arteries of left leg with ulceration of other part of lower leg,Diseases of the circulatory system,32,24,25,aquamarine
i76,i,Septic arterial embolism,Diseases of the circulatory system,211,191,227,aquamarine
i788,i,Other diseases of capillaries,Diseases of the circulatory system,12,17,17,aquamarine
i82411,i,Acute embolism and thrombosis of right femoral vein,Diseases of the circulatory system,699,599,760,aquamarine
i82412,i,Acute embolism and thrombosis of left femoral vein,Diseases of the circulatory system,796,699,812,aquamarine
i82413,i,"Acute embolism and thrombosis of femoral vein, bilateral",Diseases of the circulatory system,197,169,219,aquamarine
i82431,i,Acute embolism and thrombosis of right popliteal vein,Diseases of the circulatory system,603,513,641,aquamarine
i82432,i,Acute embolism and thrombosis of left popliteal vein,Diseases of the circulatory system,708,576,785,aquamarine
i82433,i,"Acute embolism and thrombosis of popliteal vein, bilateral",Diseases of the circulatory system,126,114,188,aquamarine
i82441,i,Acute embolism and thrombosis of right tibial vein,Diseases of the circulatory system,277,258,342,aquamarine
i82442,i,Acute embolism and thrombosis of left tibial vein,Diseases of the circulatory system,261,247,337,aquamarine
i82443,i,"Acute embolism and thrombosis of tibial vein, bilateral",Diseases of the circulatory system,56,59,77,aquamarine
i82451,i,Acute embolism and thrombosis of right peroneal vein,Diseases of the circulatory system,104,210,290,aquamarine
i82452,i,Acute embolism and thrombosis of left peroneal vein,Diseases of the circulatory system,139,219,341,aquamarine
i82453,i,"Acute embolism and thrombosis of peroneal vein, bilateral",Diseases of the circulatory system,31,65,83,aquamarine
i82511,i,Chronic embolism and thrombosis of right femoral vein,Diseases of the circulatory system,98,102,91,aquamarine
i82512,i,Chronic embolism and thrombosis of left femoral vein,Diseases of the circulatory system,133,122,137,aquamarine
i82513,i,"Chronic embolism and thrombosis of femoral vein, bilateral",Diseases of the circulatory system,52,23,36,aquamarine
i82531,i,Chronic embolism and thrombosis of right popliteal vein,Diseases of the circulatory system,77,59,59,aquamarine
i82532,i,Chronic embolism and thrombosis of left popliteal vein,Diseases of the circulatory system,81,85,92,aquamarine
i82533,i,"Chronic embolism and thrombosis of popliteal vein, bilateral",Diseases of the circulatory system,31,14,18,aquamarine
i82541,i,Chronic embolism and thrombosis of right tibial vein,Diseases of the circulatory system,17,12,17,aquamarine
i82542,i,Chronic embolism and thrombosis of left tibial vein,Diseases of the circulatory system,14,13,12,aquamarine
i82551,i,Chronic embolism and thrombosis of right peroneal vein,Diseases of the circulatory system,,11,,aquamarine
i82552,i,Chronic embolism and thrombosis of left peroneal vein,Diseases of the circulatory system,,11,11,aquamarine
i82a11,i,Acute embolism and thrombosis of right axillary vein,Diseases of the circulatory system,101,100,129,aquamarine
i82a12,i,Acute embolism and thrombosis of left axillary vein,Diseases of the circulatory system,96,88,94,aquamarine
i82b11,i,Acute embolism and thrombosis of right subclavian vein,Diseases of the circulatory system,120,120,141,aquamarine
i82b12,i,Acute embolism and thrombosis of left subclavian vein,Diseases of the circulatory system,136,149,150,aquamarine
i83009,i,Varicose veins of unspecified lower extremity with ulcer of unspecified site,Diseases of the circulatory system,70,62,47,aquamarine
i83013,i,Varicose veins of right lower extremity with ulcer of ankle,Diseases of the circulatory system,17,11,15,aquamarine
i83018,i,Varicose veins of right lower extremity with ulcer other part of lower leg,Diseases of the circulatory system,67,62,75,aquamarine
i83019,i,Varicose veins of right lower extremity with ulcer of unspecified site,Diseases of the circulatory system,43,37,34,aquamarine
i83023,i,Varicose veins of left lower extremity with ulcer of ankle,Diseases of the circulatory system,13,13,,aquamarine
i83028,i,Varicose veins of left lower extremity with ulcer other part of lower leg,Diseases of the circulatory system,67,67,83,aquamarine
i83029,i,Varicose veins of left lower extremity with ulcer of unspecified site,Diseases of the circulatory system,41,38,32,aquamarine
i8311,i,Varicose veins of right lower extremity with inflammation,Diseases of the circulatory system,34,25,32,aquamarine
i8312,i,Varicose veins of left lower extremity with inflammation,Diseases of the circulatory system,33,29,32,aquamarine
i83218,i,Varicose veins of right lower extremity with both ulcer of other part of lower extremity and inflammation,Diseases of the circulatory system,36,29,27,aquamarine
i83228,i,Varicose veins of left lower extremity with both ulcer of other part of lower extremity and inflammation,Diseases of the circulatory system,37,33,34,aquamarine
i8510,i,Secondary esophageal varices without bleeding,Diseases of the circulatory system,1047,1029,1314,aquamarine
i8511,i,Secondary esophageal varices with bleeding,Diseases of the circulatory system,467,505,604,aquamarine
i96,i,"Gangrene, not elsewhere classified",Diseases of the circulatory system,1155,1069,1251,aquamarine
i97130,i,Postprocedural heart failure following cardiac surgery,Diseases of the circulatory system,13,13,21,aquamarine
j1289,j,Other viral pneumonia,Diseases of the respiratory system,118,6736,28037,darkorchid1
j189,j,"Pneumonia, unspecified organism",Diseases of the respiratory system,14249,20429,16609,darkorchid1
j218,j,Acute bronchiolitis due to other specified organisms,Diseases of the respiratory system,266,364,75,darkorchid1
j440,j,Chronic obstructive pulmonary disease with (acute) lower respiratory infection,Diseases of the respiratory system,6380,8940,7056,darkorchid1
j441,j,Chronic obstructive pulmonary disease with (acute) exacerbation,Diseases of the respiratory system,9901,11824,7968,darkorchid1
j470,j,Bronchiectasis with acute lower respiratory infection,Diseases of the respiratory system,474,542,396,darkorchid1
j471,j,Bronchiectasis with (acute) exacerbation,Diseases of the respiratory system,171,164,102,darkorchid1
j705,j,Respiratory conditions due to smoke inhalation,Diseases of the respiratory system,38,35,23,darkorchid1
j850,j,Gangrene and necrosis of lung,Diseases of the respiratory system,106,144,101,darkorchid1
j851,j,Abscess of lung with pneumonia,Diseases of the respiratory system,125,144,140,darkorchid1
