Source,Target,Weight20192
o30043,z372,0.6956
o3403,q513,0.6619
o34211,z302,0.3042
o364xx0,z371,0.6236
o480,z3a40,0.3305
o480,z3a41,0.4571
o6014x1,o6014x2,0.6626
o99281,z3a01,0.3214
o99321,o99331,0.4587
o99321,o99341,0.3159
o99322,o99332,0.4796
o99325,o99335,0.3875
o99331,o99341,0.3596
p0418,p718,0.4182
p0449,p961,0.3353
p0701,p0721,0.594
p0703,p0725,0.3252
p0715,p0733,0.3253
p09,r94120,0.4281
p220,p284,0.4332
p220,p590,0.3972
p220,p612,0.4985
p284,p2912,0.3022
p284,p590,0.4355
p284,p612,0.4899
p590,p612,0.374
r269,r6889,0.3156
r402110,r402210,0.6476
r402111,r402211,0.8028
r402111,r402311,0.8126
r402112,r402212,0.7649
r402112,r402312,0.6923
r402113,r402213,0.5724
r402113,r402313,0.4229
r402114,r402214,0.5293
r402114,r402314,0.5272
r402120,r402210,0.33299999999999996
r402120,r402340,0.5
r402121,r402221,0.5232
r402121,r402341,0.4527
r402121,r402351,0.3414
r402122,r402342,0.3398
r402123,r402223,0.36
r402123,r402343,0.3106
r402123,r402353,0.3527
r402124,r402214,0.3156
r402124,r402224,0.3864
r402124,r402344,0.3215
r402124,r402354,0.3557
r402131,r402351,0.3214
r402133,r402353,0.3169
r402134,r402354,0.3253
r402134,r402364,0.3496
r402141,r402241,0.3526
r402141,r402251,0.7262
r402141,r402361,0.8665
r402142,r402252,0.8220000000000001
r402142,r402362,0.9102
r402143,r402253,0.8051
r402143,r402363,0.8659
r402144,r402244,0.3474
r402144,r402254,0.5068
r402144,r402364,0.6107
r402210,r402340,0.3805
r402211,r402311,0.7901
r402212,r402312,0.6301
r402213,r402313,0.3012
r402213,r402353,0.3271
r402214,r402314,0.3689
r402221,r402341,0.4344
r402221,r402351,0.37200000000000005
r402222,r402342,0.3424
r402223,r402353,0.3049
r402224,r402354,0.3442
r402241,r402361,0.3371
r402244,r402364,0.3467
r402251,r402361,0.77
r402252,r402362,0.8511
r402253,r402363,0.8287
r402254,r402364,0.6297
r41840,r41844,0.6038
r419,r6889,0.3074
r440,r441,0.3085
r45851,z915,0.4717
s0011xd,s0012xd,0.3475
s0231xa,s0240ca,0.4119
s0231xd,s0232xd,0.3446
s0232xa,s0240da,0.3112
s0240ca,s0240ea,0.3407
s0240cd,s0240ed,0.375
s0240da,s0240fa,0.3332
s02611a,s02612a,0.40399999999999997
s061x7a,s065x7a,0.3978
s061x7a,s066x7a,0.4053
s065x1a,s066x1a,0.4195
s065x7a,s066x7a,0.5055
s065x9d,s066x9d,0.3941
s12300d,s12400d,0.3679
s12400a,s12500a,0.3063
s12401a,s12501a,0.3197
s12490a,s12590a,0.3077
s12500a,s12600a,0.3223
s12500d,s12600d,0.3131
s12590a,s12690a,0.3398
s12590d,s12690d,0.43700000000000006
s20221a,s20222a,0.3322
s22010a,s22020a,0.3865
s22010a,s22030a,0.3243
s22018a,s22028a,0.4888
s22019a,s22029a,0.3098
s22019d,s22029d,0.5137
s22019d,s22039d,0.3427
s22020a,s22030a,0.38799999999999996
s22028a,s22038a,0.4778
s22028a,s22048a,0.3561
s22029a,s22039a,0.35200000000000004
s22029d,s22039d,0.4961
s22030a,s22040a,0.4742
s22038a,s22048a,0.3847
s22039a,s22049a,0.4261
s22039d,s22049d,0.4863
s22048a,s22058a,0.4092
s22049a,s22059a,0.3489
s22049d,s22059d,0.3792
s22051a,s22061a,0.3333
s22058a,s22068a,0.3332
s22058d,s22068d,0.3322
s22059d,s22069d,0.3057
s22061a,s22071a,0.3922
s233xxa,s335xxa,0.3
s31819a,s31829a,0.4796
s32018a,s32028a,0.4823
s32018a,s32038a,0.3883
s32019a,s32029a,0.4286
s32019a,s32039a,0.327
s32019d,s32029d,0.4209
s32019d,s32039d,0.41700000000000004
s32028a,s32038a,0.5013
s32028a,s32048a,0.3266
s32029a,s32039a,0.5219
s32029a,s32049a,0.35200000000000004
s32029d,s32039d,0.4893
s32029d,s32049d,0.3406
s32038a,s32048a,0.5177
s32039a,s32049a,0.4766
s32039d,s32049d,0.4919
s32048a,s32058a,0.389
s32049a,s32059a,0.3292
s32049d,s32059d,0.431
s32432a,s32442a,0.3264
s40021a,s40022a,0.3378
s40021d,s40022d,0.7692
s40811a,s40812a,0.392
s40811d,s40812d,0.7093
s41101a,s41102a,0.3177
s41111d,s41112d,0.3343
s50811d,s50812d,0.556
s51811d,s51812d,0.3368
s52041a,s52121a,0.3724
s52501b,s52601b,0.4821
s56221a,s56521a,0.4545
s60511a,s60512a,0.39299999999999996
s61215a,s61217a,0.3071
s61511a,s61512a,0.3512
s61511d,s61512d,0.5022
s6401xa,s66124a,0.3585
s71111d,s71112d,0.4846
s8001xa,s8002xa,0.3451
s8011xd,s8012xd,0.3995
s80211a,s80212a,0.5444
s80211d,s80212d,0.5089
s80811a,s80812a,0.5357
s80811d,s80812d,0.5531
s80861a,s80862a,0.5215
s80921a,s80922a,0.3621
s82201b,s82401b,0.4087
s82202b,s82402b,0.4315
s82202d,s82402d,0.4445
s82241a,s82441a,0.3449
s82252b,s82452b,0.3621
s83412a,s83512a,0.3068
s90511a,s90512a,0.3018
s90811a,s90812a,0.5
s90821a,s90822a,0.5399
s92111a,s92121a,0.3
s92321a,s92331a,0.6647
s92321a,s92341a,0.5483
s92322a,s92332a,0.6229
s92322a,s92342a,0.5333
s92322d,s92342d,0.6667
s92322d,s92352d,0.3068
s92324a,s92334a,0.6036
s92325a,s92335a,0.3922
s92331a,s92341a,0.6913
s92332a,s92342a,0.7868
s92334a,s92344a,0.5596
s92335a,s92345a,0.4961
s92341a,s92351a,0.3288
s92342d,s92352d,0.3835
t2023xa,t2024xa,0.6459
t2023xa,t2026xa,0.4506
t2023xa,t2027xa,0.34299999999999997
t2023xa,t23262a,0.3029
t2024xa,t2026xa,0.4358
t2026xa,t23261a,0.3075
t2026xa,t23262a,0.3987
t2121xa,t2122xa,0.3143
t2123xa,t2124xa,0.3889
t2131xa,t2132xa,0.4274
t2131xa,t22312a,0.4061
t2131xa,t22331a,0.3642
t2131xa,t22332a,0.4247
t2131xa,t22351a,0.3254
t2131xa,t23351a,0.3119
t2131xa,t23362a,0.3254
t2132xa,t22311a,0.3272
t2132xa,t23342a,0.3115
t2132xa,t24312a,0.3268
t2132xa,t3111,0.3165
t2133xa,t2135xa,0.3068
t2135xa,t25312a,0.3508
t22211a,t22212a,0.48700000000000004
t22211a,t22231a,0.415
t22212a,t22231a,0.3686
t22212a,t23262a,0.3184
t22231a,t22232a,0.4074
t22231a,t23261a,0.3137
t22311a,t22312a,0.3342
t22311a,t22331a,0.5277
t22311a,t22332a,0.3696
t22311a,t23342a,0.3148
t22311a,t23351a,0.3082
t22311a,t23361a,0.3309
t22311a,t3111,0.3096
t22312a,t22331a,0.3378
t22312a,t22332a,0.5765
t22312a,t23342a,0.3304
t22312a,t23362a,0.3255
t22312a,t24312a,0.3018
t22331a,t22332a,0.5920000000000001
t22331a,t23351a,0.3162
t22331a,t23361a,0.38
t22332a,t23341a,0.3513
t22332a,t23342a,0.3513
t22332a,t23352a,0.306
t22332a,t23361a,0.3153
t22332a,t23362a,0.3949
t23201a,t23202a,0.5182
t23241a,t23251a,0.3805
t23241a,t23252a,0.3801
t23241a,t23261a,0.3624
t23241a,t23262a,0.3883
t23241a,t23272a,0.3177
t23251a,t23252a,0.3922
t23251a,t23261a,0.3677
t23252a,t23261a,0.3395
t23252a,t23262a,0.3605
t23252a,t23272a,0.3446
t23261a,t23262a,0.6245
t23261a,t23271a,0.35700000000000004
t23262a,t23271a,0.3271
t23262a,t23272a,0.4202
t23271a,t23272a,0.4602
t23341a,t23342a,0.6923
t23341a,t23351a,0.7546
t23341a,t23352a,0.5596
t23341a,t23361a,0.5529
t23341a,t23362a,0.5182
t23342a,t23351a,0.5488
t23342a,t23352a,0.6395
t23342a,t23361a,0.43
t23342a,t23362a,0.7402
t23351a,t23352a,0.5657
t23351a,t23361a,0.5693
t23351a,t23362a,0.3991
t23352a,t23361a,0.4405
t23352a,t23362a,0.6136
t23361a,t23362a,0.5992
t24211a,t24212a,0.4063
t24212a,t24232a,0.3134
t24221a,t24222a,0.5827
t24311a,t24312a,0.3569
t24311a,t24331a,0.3161
t25221a,t25222a,0.4704
t25312a,t25322a,0.3064
t25321a,t25322a,0.4631
t84050a,t84060a,0.3681
z114,z1159,0.8302
z23,z3800,0.5389
z370,z3a39,0.5248
z430,z431,0.45
z515,z66,0.4179
z609,z639,0.3529
z62810,z62811,0.4532
z7982,z79899,0.3447
z7982,z87891,0.3028
z8249,z833,0.3242
z8507,z90411,0.33799999999999997
z85528,z905,0.4765
z86711,z86718,0.3414
z91410,z91411,0.3994
z9221,z923,0.442
z961,z9841,0.3162
z9841,z9842,0.8697
